[2026-04-07 05:12:59][__main__][INFO] - Logging initialised -> logs/train_2026-04-07_05-12-59.txt
[2026-04-07 05:28:53][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/microsoft/deberta-v3-small/a36c739020e01763fe789b4b85e2df55d6180012/config.json "HTTP/1.1 200 OK"
[2026-04-07 05:28:53][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/microsoft/deberta-v3-small/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
[2026-04-07 05:28:53][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/microsoft/deberta-v3-small "HTTP/1.1 200 OK"
[2026-04-07 05:28:53][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/microsoft/deberta-v3-small/commits/main "HTTP/1.1 200 OK"
[2026-04-07 05:28:53][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/microsoft/deberta-v3-small/discussions?p=0 "HTTP/1.1 200 OK"
[2026-04-07 05:28:53][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/microsoft/deberta-v3-small/commits/refs%2Fpr%2F4 "HTTP/1.1 200 OK"
[2026-04-07 05:28:53][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/microsoft/deberta-v3-small/resolve/refs%2Fpr%2F4/model.safetensors.index.json "HTTP/1.1 404 Not Found"
[2026-04-07 05:28:53][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/microsoft/deberta-v3-small/resolve/refs%2Fpr%2F4/model.safetensors "HTTP/1.1 302 Found"
[2026-04-07 05:29:47][__main__][INFO] - === Computing val probabilities for threshold optimization ===
[2026-04-07 05:32:23][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/google-research-datasets/go_emotions/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
[2026-04-07 05:32:23][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/google-research-datasets/go_emotions/add492243ff905527e67aeb8b80c082af02207c3/README.md "HTTP/1.1 200 OK"
[2026-04-07 05:32:23][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/google-research-datasets/go_emotions/resolve/add492243ff905527e67aeb8b80c082af02207c3/go_emotions.py "HTTP/1.1 404 Not Found"
[2026-04-07 05:32:23][httpx][INFO] - HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/google-research-datasets/go_emotions/google-research-datasets/go_emotions.py "HTTP/1.1 404 Not Found"
[2026-04-07 05:32:24][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/google-research-datasets/go_emotions/revision/add492243ff905527e67aeb8b80c082af02207c3 "HTTP/1.1 200 OK"
[2026-04-07 05:32:24][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/google-research-datasets/go_emotions/resolve/add492243ff905527e67aeb8b80c082af02207c3/.huggingface.yaml "HTTP/1.1 404 Not Found"
[2026-04-07 05:32:24][httpx][INFO] - HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=google-research-datasets/go_emotions "HTTP/1.1 200 OK"
[2026-04-07 05:32:24][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/google-research-datasets/go_emotions/tree/add492243ff905527e67aeb8b80c082af02207c3/raw?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-04-07 05:32:24][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/google-research-datasets/go_emotions/tree/add492243ff905527e67aeb8b80c082af02207c3?recursive=false&expand=false "HTTP/1.1 200 OK"
[2026-04-07 05:32:24][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/google-research-datasets/go_emotions/resolve/add492243ff905527e67aeb8b80c082af02207c3/dataset_infos.json "HTTP/1.1 404 Not Found"
[2026-04-07 05:32:33][__main__][INFO] - Using device: cuda
[2026-04-07 05:32:33][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/microsoft/deberta-v3-small/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-04-07 05:32:33][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/microsoft/deberta-v3-small/a36c739020e01763fe789b4b85e2df55d6180012/config.json "HTTP/1.1 200 OK"
[2026-04-07 05:32:33][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/microsoft/deberta-v3-small/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-04-07 05:32:33][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/microsoft/deberta-v3-small/a36c739020e01763fe789b4b85e2df55d6180012/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-04-07 05:32:33][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/microsoft/deberta-v3-small/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
[2026-04-07 05:32:33][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/microsoft/deberta-v3-small/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-04-07 05:32:33][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/microsoft/deberta-v3-small "HTTP/1.1 200 OK"
[2026-04-07 05:32:34][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/microsoft/deberta-v3-small/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-04-07 05:32:34][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/microsoft/deberta-v3-small/a36c739020e01763fe789b4b85e2df55d6180012/config.json "HTTP/1.1 200 OK"
[2026-04-07 05:32:34][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/microsoft/deberta-v3-small/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
[2026-04-07 05:32:34][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/microsoft/deberta-v3-small "HTTP/1.1 200 OK"
[2026-04-07 05:32:34][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/microsoft/deberta-v3-small/commits/main "HTTP/1.1 200 OK"
[2026-04-07 05:32:34][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/microsoft/deberta-v3-small/discussions?p=0 "HTTP/1.1 200 OK"
[2026-04-07 05:32:34][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/microsoft/deberta-v3-small/commits/refs%2Fpr%2F4 "HTTP/1.1 200 OK"
[2026-04-07 05:32:34][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/microsoft/deberta-v3-small/resolve/refs%2Fpr%2F4/model.safetensors.index.json "HTTP/1.1 404 Not Found"
[2026-04-07 05:32:34][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/microsoft/deberta-v3-small/resolve/refs%2Fpr%2F4/model.safetensors "HTTP/1.1 302 Found"
[2026-04-07 05:34:25][__main__][INFO] - Split sizes -- train: 168980  val: 21122  test: 21123
[2026-04-07 05:35:08][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/microsoft/deberta-v3-small/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-04-07 05:35:08][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/microsoft/deberta-v3-small/a36c739020e01763fe789b4b85e2df55d6180012/config.json "HTTP/1.1 200 OK"
[2026-04-07 05:35:08][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/microsoft/deberta-v3-small/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-04-07 05:35:08][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/microsoft/deberta-v3-small/a36c739020e01763fe789b4b85e2df55d6180012/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-04-07 05:35:08][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/microsoft/deberta-v3-small/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
[2026-04-07 05:35:08][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/microsoft/deberta-v3-small/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-04-07 05:35:08][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/microsoft/deberta-v3-small "HTTP/1.1 200 OK"
[2026-04-07 05:35:08][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/microsoft/deberta-v3-small/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-04-07 05:35:08][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/microsoft/deberta-v3-small/a36c739020e01763fe789b4b85e2df55d6180012/config.json "HTTP/1.1 200 OK"
[2026-04-07 05:35:09][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/microsoft/deberta-v3-small/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
[2026-04-07 05:35:09][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/microsoft/deberta-v3-small "HTTP/1.1 200 OK"
[2026-04-07 05:35:09][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/microsoft/deberta-v3-small/commits/main "HTTP/1.1 200 OK"
[2026-04-07 05:35:09][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/microsoft/deberta-v3-small/discussions?p=0 "HTTP/1.1 200 OK"
[2026-04-07 05:35:09][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/microsoft/deberta-v3-small/commits/refs%2Fpr%2F4 "HTTP/1.1 200 OK"
[2026-04-07 05:35:09][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/microsoft/deberta-v3-small/resolve/refs%2Fpr%2F4/model.safetensors.index.json "HTTP/1.1 404 Not Found"
[2026-04-07 05:35:09][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/microsoft/deberta-v3-small/resolve/refs%2Fpr%2F4/model.safetensors "HTTP/1.1 302 Found"
[2026-04-07 05:35:10][__main__][INFO] - === Computing val probabilities for threshold optimization ===
